Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location
12,51,443,1118846984000,4.0169999999999995,29.877,6451143.222999997,1873357.3769999999,14.5,5.9,2,45.07,0.0,1,,,,,,,10,0,55.01,1.22,us-101
13,51,432,1118846984000,16.412,138.918,6451207.662000001,1873268.321,16.0,4.9,2,33.73,-4.17,2,,,,,,,2,22,41.04,1.22,us-101
10,51,436,1118846984000,4.07,84.883,6451179.96,1873316.408,17.0,6.9,2,39.01,-6.84,1,,,,,,,0,12,0.0,0.0,us-101
22,51,441,1118846984000,14.876,77.945,6451167.2710000025,1873314.3630000001,16.5,6.4,2,30.0,0.0,2,,,,,,,13,0,60.97,2.03,us-101
2,51,437,1118846984000,14.72,179.959,6451237.1439999975,1873239.374,14.5,4.9,2,39.2,-3.52,2,,,,,,,0,13,0.0,0.0,us-101
2,52,437,1118846984100,14.508,183.862,6451239.988,1873236.708,14.5,4.9,2,38.89,-3.28,2,,,,,,,0,13,0.0,0.0,us-101
13,52,432,1118846984100,16.453,142.265,6451209.9010000015,1873265.854,16.0,4.9,2,33.31,-3.49,2,,,,,,,2,22,41.6,1.25,us-101
10,52,436,1118846984100,4.038,88.729,6451182.562999999,1873313.5590000001,17.0,6.9,2,38.58,-3.22,1,,,,,,,0,12,0.0,0.0,us-101
22,52,441,1118846984100,14.86,80.945,6451169.288,1873312.142,16.5,6.4,2,30.0,0.0,2,,,,,,,13,26,61.32,2.04,us-101
12,52,443,1118846984100,3.9939999999999998,34.376999999999995,6451146.248,1873354.045,14.5,5.9,2,45.07,0.0,1,,,,,,,10,0,54.35,1.21,us-101
2,53,437,1118846984200,14.331,187.71599999999998,6451242.77,1873234.0569999998,14.5,4.9,2,38.73,-0.33,2,,,,,,,0,13,0.0,0.0,us-101
13,53,432,1118846984200,16.493,145.582,6451212.153,1873263.374,16.0,4.9,2,32.91,-4.34,2,,,,,,,2,22,42.13,1.28,us-101
10,53,436,1118846984200,4.024,92.529,6451185.118,1873310.744,17.0,6.9,2,38.58,3.24,1,,,,,,,0,12,0.0,0.0,us-101
22,53,441,1118846984200,14.845,83.96,6451171.304,1873309.9209999999,16.5,6.4,2,29.86,-2.23,2,,,,,,,13,26,61.62,2.06,us-101
12,53,443,1118846984200,3.971,38.876,6451149.272000001,1873350.7130000002,14.5,5.9,2,45.07,0.0,1,,,,,,,10,0,53.65,1.19,us-101
2,54,437,1118846984300,14.24,191.56099999999998,6451245.501,1873231.336,14.5,4.9,2,38.88,3.49,2,,,,,,,0,13,0.0,0.0,us-101
13,54,432,1118846984300,16.543,148.847,6451214.351,1873260.938,16.0,4.9,2,32.56,-3.51,2,,,,,,,2,22,42.71,1.31,us-101
10,54,436,1118846984300,4.0569999999999995,96.374,6451187.722,1873307.895,17.0,6.9,2,39.03,7.09,1,,,,,,,0,12,0.0,0.0,us-101
22,54,441,1118846984300,14.829,86.946,6451173.321,1873307.7,16.5,6.4,2,29.54,-4.18,2,,,,,,,13,26,61.9,2.1,us-101
12,54,443,1118846984300,3.948,43.376999999999995,6451152.297,1873347.381,14.5,5.9,2,45.07,0.0,1,,,,,,,10,0,53.0,1.18,us-101
2,55,437,1118846984400,14.309000000000001,195.455,6451248.125,1873228.494,14.5,4.9,2,39.28,5.0,2,,,,,,,0,13,0.0,0.0,us-101
